symbol,company,exchange,price,week52_low,week52_high,range_pct,off_high_pct,off_low_pct,ark_mark,mark_drift_pct,total_market_value,funds,status
NTRA,Natera Inc,NASDAQ,310.7800,156.7100,326.0300,90.99,-4.68,98.32,199.9901,55.40,612691000.00,Duquesne Family Office,ok
INSM,Insmed Inc,NASDAQ,126.3300,90.3900,212.7500,29.37,-40.62,39.76,163.5202,-22.74,188717000.00,Duquesne Family Office,ok
TSM,Taiwan Semiconductor Manufac,NYSE,430.4900,223.7000,479.0000,81.00,-10.13,92.44,337.9503,27.38,167380000.00,Duquesne Family Office,ok
YPF,Ypf Sociedad Anonima,NYSE,49.4500,22.8200,57.4900,76.81,-13.99,116.70,46.2199,6.99,149566000.00,Duquesne Family Office,ok
TBBB,Bbb Foods Inc,NYSE,49.2000,23.8100,49.7700,97.80,-1.15,106.64,35.3698,39.10,109972000.00,Duquesne Family Office,ok
AA,Alcoa Corp,NYSE,49.5900,28.9200,84.3800,37.27,-41.23,71.47,66.3303,-25.24,99057000.00,Duquesne Family Office,ok
NAMS,Newamsterdam Pharma Company,NASDAQ,26.6700,23.0500,42.2050,18.90,-36.81,15.70,32.0099,-16.68,98275000.00,Duquesne Family Office,ok
SE,Sea Ltd,NYSE,123.3200,77.0500,199.3000,37.85,-38.12,60.05,82.8099,48.92,91083000.00,Duquesne Family Office,ok
STM,Stmicroelectronics N V,NYSE,53.9200,21.1100,81.4200,54.40,-33.78,155.42,34.5500,56.06,90275000.00,Duquesne Family Office,ok
WWD,Woodward Inc,NASDAQ,358.5400,233.3100,450.9200,57.55,-20.49,53.68,357.9191,0.17,75648000.00,Duquesne Family Office,ok
TEVA,Teva Pharmaceutical Inds Ltd,NYSE,36.5200,17.3300,37.3900,95.66,-2.33,110.73,30.1201,21.25,71604000.00,Duquesne Family Office,ok
ROKU,Roku Inc,NASDAQ,154.0800,78.5300,154.1200,99.95,-0.03,96.21,94.6200,62.84,70983000.00,Duquesne Family Office,ok
AVGO,Broadcom Inc,NASDAQ,417.8200,281.8700,495.0000,63.79,-15.59,48.23,309.5098,34.99,60650000.00,Duquesne Family Office,ok
CPNG,Coupang Inc,NYSE,16.2900,14.9200,34.0750,7.15,-52.19,9.18,18.8800,-13.72,50362000.00,Duquesne Family Office,ok
OPCH,Option Care Health Inc,NASDAQ,24.0700,18.0100,36.8000,32.25,-34.59,33.65,26.9198,-10.59,50301000.00,Duquesne Family Office,ok
CRH,Crh Plc,NYSE,97.7000,94.1200,131.5500,9.56,-25.73,3.80,105.1211,-7.06,39689000.00,Duquesne Family Office,ok
FIGR,Figure Technology Solutio,NASDAQ,31.8800,24.1100,78.0000,14.42,-59.13,32.23,33.9504,-6.10,39057000.00,Duquesne Family Office,ok
CAI,Caris Life Sciences Inc,NASDAQ,22.1800,14.1900,42.5000,28.22,-47.81,56.31,17.8801,24.05,33873000.00,Duquesne Family Office,ok
QSR,Restaurant Brands Intl Inc,NYSE,76.5900,61.3300,81.9600,73.97,-6.55,24.88,73.9006,3.64,33583000.00,Duquesne Family Office,ok
RVMD,Revolution Medicines Inc,NASDAQ,202.0000,35.4200,208.7610,96.10,-3.24,470.30,97.2488,107.71,30717000.00,Duquesne Family Office,ok
LSCC,Lattice Semiconductor Corp,NASDAQ,128.4300,59.3700,157.0100,70.73,-18.20,116.32,92.7600,38.45,29974000.00,Duquesne Family Office,ok
SNDK,Sandisk Corp,NASDAQ,1528.1100,42.8200,2354.3900,64.25,-35.10,3468.68,635.3296,140.52,24241000.00,Duquesne Family Office,ok
UAL,United Airls Hldgs Inc,NASDAQ,126.3500,84.6400,138.7700,77.06,-8.95,49.28,92.0703,37.23,24168000.00,Duquesne Family Office,ok
