symbol,exchange,cusip,company,total_shares,total_market_value,n_funds,funds,by_fund_shares
MSFT,NASDAQ,594918104,Microsoft Corp,1620433,255542000.00,1,Duquesne Family Office,Duquesne Family Office=1620433
WDAY,NASDAQ,98138H101,Workday Inc,1515555,249233000.00,1,Duquesne Family Office,Duquesne Family Office=1515555
NFLX,NASDAQ,64110L106,Netflix Inc,582860,188596000.00,1,Duquesne Family Office,Duquesne Family Office=582860
JPM,NYSE,46625H100,Jpmorgan Chase &amp; Co,1286900,179394000.00,1,Duquesne Family Office,Duquesne Family Office=1286900
GOOGL,NASDAQ,02079K305,Alphabet Inc,92189,123477000.00,1,Duquesne Family Office,Duquesne Family Office=92189
INDA,Cboe BZX,46429B598,Ishares Tr,3437850,120840000.00,1,Duquesne Family Office,Duquesne Family Office=3437850
HD,NYSE,437076102,Home Depot Inc,394500,86151000.00,1,Duquesne Family Office,Duquesne Family Office=394500
HDB,NYSE,40415F101,Hdfc Bank Ltd,1286100,81500000.00,1,Duquesne Family Office,Duquesne Family Office=1286100
ABT,NYSE,002824100,Abbott Labs,916300,79590000.00,1,Duquesne Family Office,Duquesne Family Office=916300
SE,NYSE,81141R100,Sea Ltd,1746301,70236000.00,1,Duquesne Family Office,Duquesne Family Office=1746301
FCX,NYSE,35671D857,Freeport-Mcmoran Inc,4572051,59985000.00,1,Duquesne Family Office,Duquesne Family Office=4572051
FDX,NYSE,31428X106,Fedex Corp,336950,50950000.00,1,Duquesne Family Office,Duquesne Family Office=336950
PNC,NYSE,693475105,Pnc Finl Svcs Group Inc,296300,47298000.00,1,Duquesne Family Office,Duquesne Family Office=296300
WFC,NYSE,949746101,Wells Fargo Co New,867900,46693000.00,1,Duquesne Family Office,Duquesne Family Office=867900
AEM,NYSE,008474108,Agnico Eagle Mines Ltd,747500,46053000.00,1,Duquesne Family Office,Duquesne Family Office=747500
MPC,NYSE,56585A102,Marathon Pete Corp,735000,44284000.00,1,Duquesne Family Office,Duquesne Family Office=735000
AMZN,NASDAQ,023135106,Amazon Com Inc,22218,41055000.00,1,Duquesne Family Office,Duquesne Family Office=22218
SNAP,NYSE,83304A106,Snap Inc,1957600,31968000.00,1,Duquesne Family Office,Duquesne Family Office=1957600
BAC,NYSE,060505104,Bank Amer Corp,759700,26757000.00,1,Duquesne Family Office,Duquesne Family Office=759700
FIS,NYSE,31620M106,Fidelity Natl Information Sv,181615,25261000.00,1,Duquesne Family Office,Duquesne Family Office=181615
NOW,NYSE,81762P102,Servicenow Inc,79805,22531000.00,1,Duquesne Family Office,Duquesne Family Office=79805
EA,NASDAQ,285512109,Electronic Arts Inc,161500,17363000.00,1,Duquesne Family Office,Duquesne Family Office=161500
SONY,NYSE,835699307,Sony Corp,225600,15341000.00,1,Duquesne Family Office,Duquesne Family Office=225600
UBER,NYSE,90353T100,Uber Technologies Inc,483279,14373000.00,1,Duquesne Family Office,Duquesne Family Office=483279
ALNY,NASDAQ,02043Q107,Alnylam Pharmaceuticals Inc,116169,13379000.00,1,Duquesne Family Office,Duquesne Family Office=116169
BABA,NYSE,01609W102,Alibaba Group Hldg Ltd,50925,10801000.00,1,Duquesne Family Office,Duquesne Family Office=50925
ADBE,NASDAQ,00724F101,Adobe Inc,30592,10090000.00,1,Duquesne Family Office,Duquesne Family Office=30592
TWLO,NYSE,90138F102,Twilio Inc,91974,9039000.00,1,Duquesne Family Office,Duquesne Family Office=91974
MELI,NASDAQ,58733R102,Mercadolibre Inc,15788,9030000.00,1,Duquesne Family Office,Duquesne Family Office=15788
NXTC,NASDAQ,65343E108,Nextcure Inc,141459,7968000.00,1,Duquesne Family Office,Duquesne Family Office=141459
Z,NASDAQ,98954M200,Zillow Group Inc,169386,7782000.00,1,Duquesne Family Office,Duquesne Family Office=169386
NKTR,NASDAQ,640268108,Nektar Therapeutics,310579,6704000.00,1,Duquesne Family Office,Duquesne Family Office=310579
MU,NASDAQ,595112103,Micron Technology Inc,93009,5002000.00,1,Duquesne Family Office,Duquesne Family Office=93009
NXPI,NASDAQ,N6596X109,Nxp Semiconductors N V,35614,4532000.00,1,Duquesne Family Office,Duquesne Family Office=35614
FLEX,NASDAQ,Y2573F102,Flex Ltd,335235,4231000.00,1,Duquesne Family Office,Duquesne Family Office=335235
ZM,NASDAQ,98980L101,Zoom Video Communications In,61700,4198000.00,1,Duquesne Family Office,Duquesne Family Office=61700
CRWD,NASDAQ,22788C105,Crowdstrike Hldgs Inc,79940,3987000.00,1,Duquesne Family Office,Duquesne Family Office=79940
JD,NASDAQ,47215P106,Jd Com Inc,108106,3809000.00,1,Duquesne Family Office,Duquesne Family Office=108106
FSLY,NASDAQ,31188V100,Fastly Inc,116036,2329000.00,1,Duquesne Family Office,Duquesne Family Office=116036
XP,NASDAQ,G98239109,Xp Inc,50000,1926000.00,1,Duquesne Family Office,Duquesne Family Office=50000
DDOG,NASDAQ,23804L103,Datadog Inc,25810,975000.00,1,Duquesne Family Office,Duquesne Family Office=25810
