trade_date,from_snapshot,to_snapshot,fund,action,ticker,company,cusip,asset_class,prev_shares,shares,expected_shares,active_shares,active_pct,flow_factor
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,new,C,Citigroup Inc,172967424,equity,0,2124909,0,2124909,,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,new,PLTR,Palantir Technologies Inc,69608A108,equity,0,5983992,0,5983992,,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,new,ON,On Semiconductor Corp,682189105,equity,0,1841239,0,1841239,,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,new,BKNG,Booking Holdings Inc,09857L108,equity,0,29904,0,29904,,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,new,INTU,Intuit,461202103,equity,0,175515,0,175515,,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,new,BLDR,Builders Firstsource Inc,12008R107,equity,0,1315579,0,1315579,,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,new,META,Facebook Inc,30303M102,equity,0,185414,0,185414,,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,new,TSM,Taiwan Semiconductor Mfg Ltd,874039100,equity,0,391475,0,391475,,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,new,JPM,Jpmorgan Chase &amp; Co,46625H100,equity,0,258420,0,258420,,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,new,CAT,Caterpillar Inc,149123101,equity,0,156400,0,156400,,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,new,CPNG,Coupang Inc,22266T109,equity,0,714285,0,714285,,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,new,FHN,First Horizon Corporation,320517105,equity,0,1954150,0,1954150,,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,new,V,Visa Inc,92826C839,equity,0,144030,0,144030,,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,new,FIS,Fidelity Natl Information Sv,31620M106,equity,0,204650,0,204650,,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,new,MA,Mastercard Incorporated,57636Q104,equity,0,78874,0,78874,,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,new,SYF,Synchrony Financial,87165B103,equity,0,547100,0,547100,,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,new,NKTR,Nektar Therapeutics,640268108,equity,0,1000000,0,1000000,,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,new,KBR,Kbr Inc,48242W106,equity,0,516057,0,516057,,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,new,SNOW,Snowflake Inc,833445109,equity,0,84745,0,84745,,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,new,MU,Micron Technology Inc,595112103,equity,0,183726,0,183726,,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,new,,Fisker Inc,33813J106,equity,0,710900,0,710900,,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,new,,Canadian Pac Ry Ltd,13645T100,equity,0,13922,0,13922,,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,new,STLD,Steel Dynamics Inc,858119100,equity,0,97700,0,97700,,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,new,TIGR,Up Fintech Hldg Ltd,91531W106,equity,0,274635,0,274635,,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,new,,Dragoneer Growth Opportun Co,G28302100,equity,0,281879,0,281879,,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,new,,Sensei Biotherapeutics Inc,81728A108,equity,0,100000,0,100000,,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,buy,SBUX,Starbucks Corp,855244109,equity,1977100,2258880,1977100,281780,14.25,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,buy,UBER,Uber Technologies Inc,90353T100,equity,321675,871675,321675,550000,170.98,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,buy,EXPE,Expedia Group Inc,30212P303,equity,270299,443094,270299,172795,63.93,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,buy,USFD,Us Foods Hldg Corp,912008109,equity,157200,890415,157200,733215,466.42,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,buy,CMI,Cummins Inc,231021106,equity,219320,324725,219320,105405,48.06,1.000000
2020-12-31,2020-12-31,2021-03-31,Duquesne Family Office,buy,GOOGL,Alphabet Inc,02079K305,equity,19024,31157,19024,12133,63.78,1.000000
