date,fund,cusip,ticker,company,asset_class,shares,market_value,weight
2024-03-31,Duquesne Family Office,594918104,MSFT,Microsoft Corp,equity,1112270,467954000.00,12.5674
2024-03-31,Duquesne Family Office,22266T109,CPNG,Coupang Inc,equity,22459850,399561000.00,10.7306
2024-03-31,Duquesne Family Office,878742204,TECK,Teck Resources Ltd,equity,4552227,208396000.00,5.5967
2024-03-31,Duquesne Family Office,92840M102,VST,Vistra Corp,equity,2625231,182847000.00,4.9105
2024-03-31,Duquesne Family Office,632307104,NTRA,Natera Inc,equity,1929380,176461000.00,4.7390
2024-03-31,Duquesne Family Office,67066G104,NVDA,Nvidia Corporation,equity,175943,158975000.00,4.2694
2024-03-31,Duquesne Family Office,19247G107,COHR,Coherent Corp,equity,2525070,153070000.00,4.1109
2024-03-31,Duquesne Family Office,369604301,GE,General Electric Co,equity,853095,149744000.00,4.0215
2024-03-31,Duquesne Family Office,980745103,WWD,Woodward Inc,equity,954230,147066000.00,3.9496
2024-03-31,Duquesne Family Office,G7997R103,STX,Seagate Technology Hldngs Pl,equity,1438983,133897000.00,3.5959
2024-03-31,Duquesne Family Office,040413106,ANET,Arista Networks Inc,equity,428252,124185000.00,3.3351
2024-03-31,Duquesne Family Office,Y2573F102,FLEX,Flex Ltd,equity,3863155,110525000.00,2.9683
2024-03-31,Duquesne Family Office,98980F104,GTM,Zoominfo Technologies Inc,equity,5881906,94287000.00,2.5322
2024-03-31,Duquesne Family Office,65249B109,NWSA,News Corp New,equity,3312025,86709000.00,2.3287
2024-03-31,Duquesne Family Office,254709108,,Discover Finl Svcs,equity,645205,84580000.00,2.2715
2024-03-31,Duquesne Family Office,92537N108,VRT,Vertiv Holdings Co,equity,998510,81548000.00,2.1901
2024-03-31,Duquesne Family Office,49456B101,KMI,Kinder Morgan Inc Del,equity,3880500,71168000.00,1.9113
2024-03-31,Duquesne Family Office,35671D857,FCX,Freeport-Mcmoran Inc,equity,1378875,64835000.00,1.7412
2024-03-31,Duquesne Family Office,48242W106,KBR,Kbr Inc,equity,981425,62478000.00,1.6779
2024-03-31,Duquesne Family Office,573874104,MRVL,Marvell Technology Inc,equity,822875,58325000.00,1.5664
2024-03-31,Duquesne Family Office,929740108,WAB,Wabtec,equity,386835,56354000.00,1.5134
2024-03-31,Duquesne Family Office,532457108,LLY,Eli Lilly &amp; Co,equity,61664,47972000.00,1.2883
2024-03-31,Duquesne Family Office,697435105,PANW,Palo Alto Networks Inc,equity,138718,39414000.00,1.0585
2024-03-31,Duquesne Family Office,13321L108,CCJ,Cameco Corp,equity,848710,36766000.00,0.9874
2024-03-31,Duquesne Family Office,30303M102,META,Meta Platforms Inc,equity,63930,31043000.00,0.8337
2024-03-31,Duquesne Family Office,65249B208,NWS,News Corp New,equity,1053975,28521000.00,0.7660
