trade_date,from_snapshot,to_snapshot,fund,action,ticker,company,cusip,asset_class,prev_shares,shares,expected_shares,active_shares,active_pct,flow_factor
2017-03-31,2017-03-31,2017-06-30,Duquesne Family Office,new,BABA,Alibaba Group Hldg Ltd,01609W102,equity,0,710200,0,710200,,1.620552
2017-03-31,2017-03-31,2017-06-30,Duquesne Family Office,new,MRK,Merck &amp; Co Inc,58933Y105,equity,0,755500,0,755500,,1.620552
2017-03-31,2017-03-31,2017-06-30,Duquesne Family Office,new,NOW,Servicenow Inc,81762P102,equity,0,428000,0,428000,,1.620552
2017-03-31,2017-03-31,2017-06-30,Duquesne Family Office,new,IBB,Ishares Tr,464287556,equity,0,82400,0,82400,,1.620552
2017-03-31,2017-03-31,2017-06-30,Duquesne Family Office,new,YUMC,Yum China Hldgs Inc,98850P109,equity,0,597200,0,597200,,1.620552
2017-03-31,2017-03-31,2017-06-30,Duquesne Family Office,new,DAL,Delta Air Lines Inc Del,247361702,equity,0,391000,0,391000,,1.620552
2017-03-31,2017-03-31,2017-06-30,Duquesne Family Office,new,V,Visa Inc,92826C839,equity,0,216400,0,216400,,1.620552
2017-03-31,2017-03-31,2017-06-30,Duquesne Family Office,new,MA,Mastercard Incorporated,57636Q104,equity,0,165200,0,165200,,1.620552
2017-03-31,2017-03-31,2017-06-30,Duquesne Family Office,new,SBAC,Sba Communications Corp New,78410G104,equity,0,112000,0,112000,,1.620552
2017-03-31,2017-03-31,2017-06-30,Duquesne Family Office,new,CCI,Crown Castle Intl Corp New,22822V101,equity,0,148000,0,148000,,1.620552
2017-03-31,2017-03-31,2017-06-30,Duquesne Family Office,new,HDB,Hdfc Bank Ltd,40415F101,equity,0,128200,0,128200,,1.620552
2017-03-31,2017-03-31,2017-06-30,Duquesne Family Office,buy,META,Facebook Inc,30303M102,equity,405900,1083600,657782,425818,64.74,1.620552
2017-03-31,2017-03-31,2017-06-30,Duquesne Family Office,buy,CMCSA,Comcast Corp New,20030N101,equity,686400,1968400,1112347,856053,76.96,1.620552
2017-03-31,2017-03-31,2017-06-30,Duquesne Family Office,buy,JD,Jd Com Inc,47215P106,equity,638000,1358800,1033912,324888,31.42,1.620552
2017-03-31,2017-03-31,2017-06-30,Duquesne Family Office,buy,GOOGL,Alphabet Inc,02079K305,equity,100400,174650,162703,11947,7.34,1.620552
2017-03-31,2017-03-31,2017-06-30,Duquesne Family Office,buy,LVS,Las Vegas Sands Corp,517834107,equity,276700,614500,448407,166093,37.04,1.620552
2017-03-31,2017-03-31,2017-06-30,Duquesne Family Office,buy,ADSK,Autodesk Inc,052769106,equity,158349,347800,256613,91187,35.53,1.620552
2017-03-31,2017-03-31,2017-06-30,Duquesne Family Office,buy,AMZN,Amazon Com Inc,023135106,equity,71100,120003,115221,4782,4.15,1.620552
2017-03-31,2017-03-31,2017-06-30,Duquesne Family Office,buy,AAL,American Airls Group Inc,02376R102,equity,203100,400000,329134,70866,21.53,1.620552
