symbol,exchange,cusip,company,total_shares,total_market_value,n_funds,funds,by_fund_shares
MSFT,NASDAQ,594918104,Microsoft Corp,2632100,181431000.00,1,Duquesne Family Office,Duquesne Family Office=2632100
GOOGL,NASDAQ,02079K305,Alphabet Inc,174650,162369000.00,1,Duquesne Family Office,Duquesne Family Office=174650
AMZN,NASDAQ,023135106,Amazon Com Inc,120003,116163000.00,1,Duquesne Family Office,Duquesne Family Office=120003
BABA,NYSE,01609W102,Alibaba Group Hldg Ltd,710200,100067000.00,1,Duquesne Family Office,Duquesne Family Office=710200
CRM,NYSE,79466L302,Salesforce Com Inc,1081600,93667000.00,1,Duquesne Family Office,Duquesne Family Office=1081600
CMCSA,NASDAQ,20030N101,Comcast Corp New,1968400,76610000.00,1,Duquesne Family Office,Duquesne Family Office=1968400
EA,NASDAQ,285512109,Electronic Arts Inc,713900,75474000.00,1,Duquesne Family Office,Duquesne Family Office=713900
JD,NASDAQ,47215P106,Jd Com Inc,1358800,53292000.00,1,Duquesne Family Office,Duquesne Family Office=1358800
PYPL,NASDAQ,70450Y103,Paypal Hldgs Inc,925200,49655000.00,1,Duquesne Family Office,Duquesne Family Office=925200
MRK,NYSE,58933Y105,Merck &amp; Co Inc,755500,48420000.00,1,Duquesne Family Office,Duquesne Family Office=755500
EXPE,NASDAQ,30212P303,Expedia Inc Del,323884,48243000.00,1,Duquesne Family Office,Duquesne Family Office=323884
NOW,NYSE,81762P102,Servicenow Inc,428000,45368000.00,1,Duquesne Family Office,Duquesne Family Office=428000
LVS,NYSE,517834107,Las Vegas Sands Corp,614500,39260000.00,1,Duquesne Family Office,Duquesne Family Office=614500
ADSK,NASDAQ,052769106,Autodesk Inc,347800,35065000.00,1,Duquesne Family Office,Duquesne Family Office=347800
NTES,NASDAQ,64110W102,Netease Inc,85700,25764000.00,1,Duquesne Family Office,Duquesne Family Office=85700
IBB,NASDAQ,464287556,Ishares Tr,82400,25563000.00,1,Duquesne Family Office,Duquesne Family Office=82400
PTC,NASDAQ,69370C100,Ptc Inc,449600,24782000.00,1,Duquesne Family Office,Duquesne Family Office=449600
WDAY,NASDAQ,98138H101,Workday Inc,250300,24279000.00,1,Duquesne Family Office,Duquesne Family Office=250300
YUMC,NYSE,98850P109,Yum China Hldgs Inc,597200,23548000.00,1,Duquesne Family Office,Duquesne Family Office=597200
NKTR,NASDAQ,640268108,Nektar Therapeutics,1166100,22797000.00,1,Duquesne Family Office,Duquesne Family Office=1166100
ACIU,NASDAQ,H00263105,Ac Immune Sa,2388700,21021000.00,1,Duquesne Family Office,Duquesne Family Office=2388700
DAL,NYSE,247361702,Delta Air Lines Inc Del,391000,21012000.00,1,Duquesne Family Office,Duquesne Family Office=391000
V,NYSE,92826C839,Visa Inc,216400,20294000.00,1,Duquesne Family Office,Duquesne Family Office=216400
AAL,NASDAQ,02376R102,American Airls Group Inc,400000,20128000.00,1,Duquesne Family Office,Duquesne Family Office=400000
MA,NYSE,57636Q104,Mastercard Incorporated,165200,20064000.00,1,Duquesne Family Office,Duquesne Family Office=165200
UAL,NASDAQ,910047109,United Contl Hldgs Inc,243500,18323000.00,1,Duquesne Family Office,Duquesne Family Office=243500
SBAC,NASDAQ,78410G104,Sba Communications Corp New,112000,15109000.00,1,Duquesne Family Office,Duquesne Family Office=112000
CCI,NYSE,22822V101,Crown Castle Intl Corp New,148000,14827000.00,1,Duquesne Family Office,Duquesne Family Office=148000
HDB,NYSE,40415F101,Hdfc Bank Ltd,128200,11150000.00,1,Duquesne Family Office,Duquesne Family Office=128200
