symbol,exchange,cusip,company,total_shares,total_market_value,n_funds,funds,by_fund_shares
MSFT,NASDAQ,594918104,Microsoft Corp,1112270,467954000.00,1,Duquesne Family Office,Duquesne Family Office=1112270
CPNG,NYSE,22266T109,Coupang Inc,22459850,399561000.00,1,Duquesne Family Office,Duquesne Family Office=22459850
TECK,NYSE,878742204,Teck Resources Ltd,4552227,208396000.00,1,Duquesne Family Office,Duquesne Family Office=4552227
VST,NYSE,92840M102,Vistra Corp,2625231,182847000.00,1,Duquesne Family Office,Duquesne Family Office=2625231
NTRA,NASDAQ,632307104,Natera Inc,1929380,176461000.00,1,Duquesne Family Office,Duquesne Family Office=1929380
NVDA,NASDAQ,67066G104,Nvidia Corporation,175943,158975000.00,1,Duquesne Family Office,Duquesne Family Office=175943
COHR,NYSE,19247G107,Coherent Corp,2525070,153070000.00,1,Duquesne Family Office,Duquesne Family Office=2525070
GE,NYSE,369604301,General Electric Co,853095,149744000.00,1,Duquesne Family Office,Duquesne Family Office=853095
WWD,NASDAQ,980745103,Woodward Inc,954230,147066000.00,1,Duquesne Family Office,Duquesne Family Office=954230
STX,NASDAQ,G7997R103,Seagate Technology Hldngs Pl,1438983,133897000.00,1,Duquesne Family Office,Duquesne Family Office=1438983
ANET,NYSE,040413106,Arista Networks Inc,428252,124185000.00,1,Duquesne Family Office,Duquesne Family Office=428252
GTM,NASDAQ,98980F104,Zoominfo Technologies Inc,5881906,94287000.00,1,Duquesne Family Office,Duquesne Family Office=5881906
NWSA,NASDAQ,65249B109,News Corp New,3312025,86709000.00,1,Duquesne Family Office,Duquesne Family Office=3312025
VRT,NYSE,92537N108,Vertiv Holdings Co,998510,81548000.00,1,Duquesne Family Office,Duquesne Family Office=998510
KMI,NYSE,49456B101,Kinder Morgan Inc Del,3880500,71168000.00,1,Duquesne Family Office,Duquesne Family Office=3880500
FCX,NYSE,35671D857,Freeport-Mcmoran Inc,1378875,64835000.00,1,Duquesne Family Office,Duquesne Family Office=1378875
KBR,NYSE,48242W106,Kbr Inc,981425,62478000.00,1,Duquesne Family Office,Duquesne Family Office=981425
MRVL,NASDAQ,573874104,Marvell Technology Inc,822875,58325000.00,1,Duquesne Family Office,Duquesne Family Office=822875
LLY,NYSE,532457108,Eli Lilly &amp; Co,61664,47972000.00,1,Duquesne Family Office,Duquesne Family Office=61664
PANW,NASDAQ,697435105,Palo Alto Networks Inc,138718,39414000.00,1,Duquesne Family Office,Duquesne Family Office=138718
CCJ,NYSE,13321L108,Cameco Corp,848710,36766000.00,1,Duquesne Family Office,Duquesne Family Office=848710
META,NASDAQ,30303M102,Meta Platforms Inc,63930,31043000.00,1,Duquesne Family Office,Duquesne Family Office=63930
NWS,NASDAQ,65249B208,News Corp New,1053975,28521000.00,1,Duquesne Family Office,Duquesne Family Office=1053975
KEY,NYSE,493267108,Keycorp,1657395,26203000.00,1,Duquesne Family Office,Duquesne Family Office=1657395
C,NYSE,172967424,Citigroup Inc,400345,25318000.00,1,Duquesne Family Office,Duquesne Family Office=400345
MSGE,NYSE,558256103,Madison Square Garden Entmt,639800,25087000.00,1,Duquesne Family Office,Duquesne Family Office=639800
OPCH,NASDAQ,68404L201,Option Care Health Inc,686205,23015000.00,1,Duquesne Family Office,Duquesne Family Office=686205
DAKT,NASDAQ,234264109,Daktronics Inc,2073444,20652000.00,1,Duquesne Family Office,Duquesne Family Office=2073444
AAPL,NASDAQ,037833100,Apple Inc,114700,19669000.00,1,Duquesne Family Office,Duquesne Family Office=114700
CNK,NYSE,17243V102,Cinemark Hldgs Inc,1078635,19383000.00,1,Duquesne Family Office,Duquesne Family Office=1078635
PLTR,NASDAQ,69608A108,Palantir Technologies Inc,769965,17717000.00,1,Duquesne Family Office,Duquesne Family Office=769965
STLA,NYSE,N82405106,Stellantis N.V,588050,16666000.00,1,Duquesne Family Office,Duquesne Family Office=588050
SPHR,NYSE,55826T102,Sphere Entertainment Co,336825,16531000.00,1,Duquesne Family Office,Duquesne Family Office=336825
COF,NYSE,14040H105,Capital One Finl Corp,108495,16154000.00,1,Duquesne Family Office,Duquesne Family Office=108495
IQV,NYSE,46266C105,Iqvia Hldgs Inc,60360,15264000.00,1,Duquesne Family Office,Duquesne Family Office=60360
CRNX,NASDAQ,22663K107,Crinetics Pharmaceuticals In,309000,14464000.00,1,Duquesne Family Office,Duquesne Family Office=309000
BAH,NYSE,099502106,Booz Allen Hamilton Hldg Cor,83841,12445000.00,1,Duquesne Family Office,Duquesne Family Office=83841
OZK,NASDAQ,06417N103,Bank Ozk Little Rock Ark,234200,10647000.00,1,Duquesne Family Office,Duquesne Family Office=234200
BMA,NYSE,05961W105,Banco Macro Sa,208730,10057000.00,1,Duquesne Family Office,Duquesne Family Office=208730
BCS,NYSE,06738E204,Barclays Plc,1051355,9935000.00,1,Duquesne Family Office,Duquesne Family Office=1051355
SANA,NASDAQ,799566104,Sana Biotechnology Inc,984000,9840000.00,1,Duquesne Family Office,Duquesne Family Office=984000
RDDT,NYSE,75734B100,Reddit Inc,175000,8631000.00,1,Duquesne Family Office,Duquesne Family Office=175000
SLN,NASDAQ,82686Q101,Silence Therapeutics Plc,387400,8368000.00,1,Duquesne Family Office,Duquesne Family Office=387400
TTWO,NASDAQ,874054109,Take-Two Interactive Softwar,55320,8214000.00,1,Duquesne Family Office,Duquesne Family Office=55320
GGAL,NASDAQ,399909100,Grupo Financiero Galicia S.A,321863,8182000.00,1,Duquesne Family Office,Duquesne Family Office=321863
CEG,NASDAQ,21037T109,Constellation Energy Corp,39081,7224000.00,1,Duquesne Family Office,Duquesne Family Office=39081
CABA,NASDAQ,12674W109,Cabaletta Bio Inc,417000,7114000.00,1,Duquesne Family Office,Duquesne Family Office=417000
NRG,NYSE,629377508,Nrg Energy Inc,96885,6558000.00,1,Duquesne Family Office,Duquesne Family Office=96885
LEGN,NASDAQ,52490G102,Legend Biotech Corp,114500,6422000.00,1,Duquesne Family Office,Duquesne Family Office=114500
VCYT,NASDAQ,92337F107,Veracyte Inc,259944,5760000.00,1,Duquesne Family Office,Duquesne Family Office=259944
AES,NYSE,00130H105,Aes Corp,314750,5643000.00,1,Duquesne Family Office,Duquesne Family Office=314750
NXE,NYSE,65340P106,Nexgen Energy Ltd,712000,5532000.00,1,Duquesne Family Office,Duquesne Family Office=712000
WDC,NASDAQ,958102105,Western Digital Corp.,73505,5016000.00,1,Duquesne Family Office,Duquesne Family Office=73505
TSEM,NASDAQ,M87915274,Tower Semiconductor Ltd,146400,4897000.00,1,Duquesne Family Office,Duquesne Family Office=146400
BCYC,NASDAQ,088786108,Bicycle Therapeutics Plc,190200,4736000.00,1,Duquesne Family Office,Duquesne Family Office=190200
MLTX,NASDAQ,61559X104,Moonlake Immunotherapeutics,87500,4395000.00,1,Duquesne Family Office,Duquesne Family Office=87500
TGTX,NASDAQ,88322Q108,Tg Therapeutics Inc,280000,4259000.00,1,Duquesne Family Office,Duquesne Family Office=280000
TLSI,NASDAQ,89680M101,Trisalus Life Sciences Inc,315955,3081000.00,1,Duquesne Family Office,Duquesne Family Office=315955
IHS,NYSE,G4701H109,Ihs Holding Limited,770310,2719000.00,1,Duquesne Family Office,Duquesne Family Office=770310
TEO,NYSE,879273209,Telecom Argentina Sa,143051,1137000.00,1,Duquesne Family Office,Duquesne Family Office=143051
NRIX,NASDAQ,67080M103,Nurix Therapeutics Inc,44200,650000.00,1,Duquesne Family Office,Duquesne Family Office=44200
JOBY,NYSE,G65163100,Joby Aviation Inc,22492,121000.00,1,Duquesne Family Office,Duquesne Family Office=22492
