date,fund,cusip,ticker,company,asset_class,shares,market_value,weight
2019-06-30,Duquesne Family Office,594918104,MSFT,Microsoft Corp,equity,5226193,700101000.00,20.8166
2019-06-30,Duquesne Family Office,023135106,AMZN,Amazon Com Inc,equity,125527,237702000.00,7.0678
2019-06-30,Duquesne Family Office,64110L106,NFLX,Netflix Inc,equity,534160,196208000.00,5.8340
2019-06-30,Duquesne Family Office,01609W102,BABA,Alibaba Group Hldg Ltd,equity,1038393,175956000.00,5.2318
2019-06-30,Duquesne Family Office,00724F101,ADBE,Adobe Inc,equity,515971,152031000.00,4.5204
2019-06-30,Duquesne Family Office,90353T100,UBER,Uber Technologies Inc,equity,2689840,124755000.00,3.7094
2019-06-30,Duquesne Family Office,58733R102,MELI,Mercadolibre Inc,equity,194913,119242000.00,3.5455
2019-06-30,Duquesne Family Office,464287234,EEM,Ishares Tr,equity,2410500,103435000.00,3.0755
2019-06-30,Duquesne Family Office,98138H101,WDAY,Workday Inc,equity,493787,101513000.00,3.0184
2019-06-30,Duquesne Family Office,437076102,HD,Home Depot Inc,equity,453900,94398000.00,2.8068
2019-06-30,Duquesne Family Office,22266L106,COUPEUR,Coupa Software Inc,equity,693306,87779000.00,2.6100
2019-06-30,Duquesne Family Office,00507V109,ATVIEUR,Activision Blizzard Inc,equity,1744075,82320000.00,2.4477
2019-06-30,Duquesne Family Office,002824100,ABT,Abbott Labs,equity,916300,77061000.00,2.2913
2019-06-30,Duquesne Family Office,83304A106,SNAP,Snap Inc,equity,5234631,74855000.00,2.2257
2019-06-30,Duquesne Family Office,79466L302,CRM,Salesforce Com Inc,equity,482103,73149000.00,2.1750
2019-06-30,Duquesne Family Office,69331C108,PCG,Pg&amp;E Corp,equity,3051300,69936000.00,2.0795
2019-06-30,Duquesne Family Office,369604103,,General Electric Co,equity,6190650,65002000.00,1.9328
2019-06-30,Duquesne Family Office,452327109,ILMN,Illumina Inc,equity,170800,62880000.00,1.8697
2019-06-30,Duquesne Family Office,067901108,ABX,Barrick Gold Corporation,equity,3980100,62766000.00,1.8663
